,Compound ID,InChIKey,SMILES,logS,logP,MW
2484,C3795,ZUWXHHBROGLWNH-UHFFFAOYSA-N,Nc1ccc(Cl)cc1C(=O)c1ccccc1,-4.255308123,3.7344,231.678
2485,C3796,ADGGJQPKBDIZMT-IAXIIBAVSA-K,O=S(=O)([O-])c1cc(O)c2c(/N=N/c3ccc(Nc4ccccc4)c4c(S(=O)(=O)[O-])cccc34)cc(S(=O)(=O)[O-])cc2c1.[Na+].[Na+].[Na+],-4.254744592,7.8853,695.584
2486,C3797,HWGAOXKGTHUMFZ-UHFFFAOYSA-N,C1CNCCN1.CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-4.253645254,3.7546,394.51
2487,C3798,LIAUJQLOCLVMMH-UHFFFAOYSA-N,COC(=O)c1cc2c([nH]c3ccccc32)c(C)n1,-4.253580271,2.8111,240.257
2488,C3799,FQISKWAFAHGMGT-SGJOWKDISA-M,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12.[Na+],-4.251902456,0.8846,496.525
2489,C3800,SJDCEXAILSGDEQ-SQQVDAMQSA-M,C/C=C/CC(C(=O)[O-])c1cccc2ccccc12.[Na+],-4.251454464,2.6395,262.279
2490,C3801,CNIIGCLFLJGOGP-UHFFFAOYSA-N,c1ccc2c(CC3=NCCN3)cccc2c1,-4.251284163,2.1484,210.274
2491,C388,IIEWJVIFRVWJOD-UHFFFAOYSA-N,CCC1CCCCC1,-4.25,2.9767,112.213
2492,C3802,XIPRKCKRTFFPII-UHFFFAOYSA-N,COc1ccc(OCC[NH+](CCCl)Cc2ccccc2)cc1.[Cl-],-4.248603907,-0.5981,356.287
2493,C3803,XCWPUUGSGHNIDZ-UHFFFAOYSA-N,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC,-4.24859969,3.8611,379.495
2494,C3804,FOXWLWYGXYMRQO-UHFFFAOYSA-N,CCC(=O)c1ccc(OCC(O)CN2CCN(c3ccc(C)c(C)c3)CC2)cc1,-4.248029138,3.4609,396.522
2495,C3805,CSUWOZHJCIQEMQ-UHFFFAOYSA-N,Cc1c(N)ccc2cc3ccc(N)c(C)c3nc12,-4.24497495,4.3316,237.3
2496,C3806,WXORVJKMLQDWJL-UHFFFAOYSA-N,CN(C)c1ccc2cc3cc(N)ccc3nc2c1,-4.24497495,3.6174,237.3
2497,C3807,UWBICEKKOYXZRG-WNHSNXHDSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,-4.242156353,4.5941,342.472
2498,C3808,KGVXVPRLBMWZLG-UHFFFAOYSA-N,O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl,-4.241262188,4.1427,312.148
2499,C3809,CHBRHODLKOZEPZ-UHFFFAOYSA-N,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,-4.240855851,3.2783,318.821
2500,C3810,HKIZCIYTMMHSCB-UHFFFAOYSA-N,Cc1cc(OCCCCCNCCSS(=O)(=O)O)nc2ccc(Cl)cc12,-4.240146178,5.343,418.959
2501,C3811,CKQISVVSBPQHHP-UHFFFAOYSA-N,Cc1cc(OCCCCCNCCSS(=O)(=O)O)nc2c(Cl)cccc12,-4.240146178,5.343,418.959
2502,C389,OSSQSXOTMIGBCF-UHFFFAOYSA-N,C#CCCCCCCC,-4.2399998,2.9801,124.223
2503,C390,YOYAIZYFCNQIRF-UHFFFAOYSA-N,N#Cc1c(Cl)cccc1Cl,-4.2399998,2.86508,172.011
2504,C391,SLZWBCGZQRRUNG-UHFFFAOYSA-N,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-4.2399998,4.3907,263.375
2505,C3812,VHUXSAWXWSTUOD-UHFFFAOYSA-L,CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.[Ca+2],-4.239611212,4.6646,522.602
2506,C3813,QUCYHTNWCIUCRQ-UHFFFAOYSA-N,CC(CCC12CC3CC(CC(C3)C1)C2)N(C)C.Cl,-4.238466411,4.7351,271.869
2507,C3814,DMWLJGCTBADESH-UHFFFAOYSA-N,CNC(C)CC12CC3CC(CC(C3)C1Cl)C2Cl.Cl,-4.237453473,4.8283,312.706
2508,C3815,HUPFGZXOMWLGNK-UHFFFAOYSA-N,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-4.237220656,3.0356,250.198
2509,C3816,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,-4.236927688,3.8228,418.44
2510,C3817,XLMALTXPSGQGBX-UHFFFAOYSA-N,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,-4.236346688,4.2755,339.471
2511,C3818,LDHXSKPYAZKHNX-UHFFFAOYSA-N,Cl.SCCNCCCCCOc1ccc(I)cn1,-4.235786252,3.9476,402.722
2512,C3819,LRBRDKJDQNQZMK-BTJKTKAUSA-N,CN1CCN(C2Cc3ccccc3S(=O)c3ccccc32)CC1.O=C(O)/C=C\C(=O)O,-4.232642954,3.1512,442.528
2513,C3820,BVMNPUCCRIKXTQ-UHFFFAOYSA-N,CCC(CN(C)C)(C(=O)OCc1ccccc1)c1ccccc1.Cl,-4.231803039,4.4414,347.879
2514,C3821,ORKBYCQJWQBPFG-WOMZHKBXSA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC.C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,-4.230636542,7.4952,608.849
2515,C3822,IQRKAGUQCVXZSS-RGEXLXHISA-N,CCN(CC)/N=C\C(=O)c1ccc(-c2ccccc2)cc1,-4.230249146,3.8639,280.364
2516,C3823,JVNBJLUJOYZINW-UHFFFAOYSA-N,FCCCCCCCCCl,-4.230172793,3.5353,166.664
2517,C3824,XHDRCKHCSHZSMF-UHFFFAOYSA-N,CNC(C)CC12CC3CC(CC(C3)C1Br)C2.Cl,-4.230065551,4.7671,322.712
2518,C3825,IBLIMURONGSVLV-UHFFFAOYSA-N,CNC(C)CC12CC3CC(CC(Br)(C3)C1)C2.Cl,-4.230065551,4.9112,322.712
2519,C392,WVFBDVFCOCLEFM-UHFFFAOYSA-N,ClC(Cl)=CC(Cl)=C(Cl)Cl,-4.23,4.1909,226.316
2520,C393,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,CCOP(=S)(OCC)SCCSCC,-4.23,4.4208,274.404
2521,C394,AEXMKKGTQYQZCS-UHFFFAOYSA-N,CCC(C)(C)CC,-4.23,2.8326,100.202
2522,C3826,DHAXYFHOHVOKHH-UHFFFAOYSA-N,CC1OC(CCCN(C)C)(c2ccccc2)c2ccccc21.O=C(O)C(=O)O,-4.229953449,3.5188,385.453
2523,C3827,IMTFBWVBFMZNED-UHFFFAOYSA-N,C[NH+](C)CCCC1(c2ccccc2)OCCc2ccccc21.[Cl-],-4.228730244,-0.5684,331.88
2524,C3828,UCUOKZUJHTYPJT-UHFFFAOYSA-N,O=C(O)CCC(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,-4.227637498,2.4372,386.786
2525,C3829,AOBYZQVXPIBGCZ-UHFFFAOYSA-N,CCN(CC)C(C)C=C(c1cccs1)c1cccs1.Cl,-4.2257452,5.7736,327.936
2526,C3830,RQUSKNJBURBAJD-RVDMUPIBSA-N,CCC(=O)N1C2CCC1CN(C/C(C)=C/c1ccccc1)C2,-4.224422462,3.0509,298.423
2527,C3831,RIKCMEDSBFQFAL-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1ccc(O)cc1,-4.222435519,3.9095,250.333
2528,C3832,ITCJXSWUTFPBKJ-UHFFFAOYSA-N,Cc1cc2c(cc1C)C(=O)C(C[NH+]1CCCCC1)CC2.[Cl-],-4.221184358,0.6905,307.858
2529,C3833,MVNBKZSYYRLNSC-UHFFFAOYSA-N,CCCOc1c(OC)cccc1C(=O)NCCCN(CC)CC.O=C(O)C(=O)O,-4.220954373,2.4922,412.477
2530,C395,LOMMDWBTANPFEJ-UHFFFAOYSA-N,Nc1cccc2nc3ccccc3cc12,-4.2199998,3.5514,194.232
2531,C396,VRQVVMDWGGWHTJ-CQSZACIVSA-N,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,-4.2199998,4.5606,328.472
2532,C3834,OCGNHCSQAXMFEA-UHFFFAOYSA-N,CN1c2cc(CC(=O)O)ccc2SC1c1ccccc1,-4.219866156,3.6194,285.361
2533,C3835,NHCCUUKOKFWVLH-UHFFFAOYSA-N,CCCN1CCc2c(cccc2NC(=O)c2cc(OC)c(OC)c(OC)c2)C1,-4.219381262,3.7437,384.469
2534,C3836,WRILSPHRDWMEMQ-ONEGZZNKSA-N,CCC(=O)N1C2CCC1CN(C/C=C/c1ccc([N+](=O)[O-])cc1)C2,-4.218870505,3.0922,329.394
2535,C3837,WPKXQUCVSYGYFP-GQCTYLIASA-N,CCC(=O)N1C2CCC1CN(C/C=C/c1cccc([N+](=O)[O-])c1)C2,-4.218870505,3.0922,329.394
2536,C3838,GXGLAIVPXZPYBU-FNORWQNLSA-N,CCC(=O)N1C2CCC1CN(C/C=C/c1ccccc1[N+](=O)[O-])C2,-4.218870505,3.0922,329.394
2537,C3839,ASEVFPLMGHLBMI-RANVTSCRSA-N,CCCCOc1c(OC)cccc1C(=O)NCCO/[NH+]=C(\C)CC.O=C([O-])C(=O)O,-4.218264707,-0.3012,426.461
2538,C3840,FSRLGULMGJGKGI-BTJKTKAUSA-N,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C.O=C(O)/C=C\C(=O)O,-4.217741036,3.4481,503.542
2539,C3841,LEBVLXFERQHONN-MRXNPFEDSA-N,CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,-4.21700991,3.9074,288.428
2540,C3842,LEBVLXFERQHONN-INIZCTEOSA-N,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,-4.21700991,3.9074,288.428
2541,C3843,YDBOSOSNSKVUHP-UHFFFAOYSA-N,CCCCNC(=O)OCC(C)(CCCC)COC(N)=O,-4.216939136,3.8957,288.383
2542,C3844,JGOAIQNSOGZNBX-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,-4.216891655,3.7035,311.418
2543,C3845,KYLIZBIRMBGUOP-UHFFFAOYSA-N,COc1ccc(-c2cc(=S)ss2)cc1,-4.216199331,4.2147,240.365
2544,C3846,VCKUSRYTPJJLNI-UHFFFAOYSA-N,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,-4.213639395,1.6409,387.433
2545,C3847,YFJWYKLLZFEYFL-UHFFFAOYSA-N,CC1=C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,-4.210369022,3.7847,258.084
2546,C397,LJOZMWRYMKECFF-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1I,-4.21,3.6165,323.129
2547,C398,RIGBPMDIGYBTBJ-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-4.21,4.1782,296.385
2548,C399,KDDQDUIBYASSFC-UHFFFAOYSA-N,CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21,-4.21,3.1821,322.285
2549,C3848,SYWHXTATXSMDSB-GSLJADNHSA-N,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-4.209179021,2.4445,422.487
2550,C3849,BRBRZCHDAPWVRY-UHFFFAOYSA-N,CC[NH+](CC)CCC1(C2CCCCC2)C(=O)Oc2ccccc21.[Cl-],-4.207981297,-0.2575,351.911
2551,C3850,QIKOQLHSUDUZIY-UHFFFAOYSA-N,Cl.Cl.O=C(CCN1CCN2c3ccccc3CCC2C1)Cc1ccc(F)cc1,-4.207161899,5.0713,425.367
2552,C3851,GFWHYXLNDSQZAF-UHFFFAOYSA-N,CC[NH+](CC)CCOC(=O)c1ccc(F)c(I)c1.[Cl-],-4.205902345,-1.4842,401.643
2553,C3852,LNNSWVQGTLENTF-UHFFFAOYSA-N,CC[NH+](Cc1ccccc1)CC(O)COc1c2oc(C)cc2c(O)c2c(=O)ccoc12.[Cl-],-4.204803232,-0.5981,459.919
2554,C3853,MWYHLEQJTQJHSS-UHFFFAOYSA-N,CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O,-4.204088623,2.4621,318.371
2555,C3854,FUKGUAVFRQEKLQ-UHFFFAOYSA-N,CCCOc1c(C(C)C)ccc(C)c1C(=O)O,-4.203222223,3.6054,236.307
2556,C3855,XREKTVACBXQCSB-UHFFFAOYSA-N,O=C(O)c1cc(I)c(O)c(I)c1,-4.20215854,2.2996,389.914
2557,C3856,OMMBWIJMWMSGBX-BGWNKZQTSA-N,CCN(CC)CCn1c(-c2ccccc2)noc1=N.Cl,-4.200620841,2.8661,296.796
2558,C3857,ILBINFKDNNTWSC-UHFFFAOYSA-N,CCCCOc1cc(C(=O)NO)cc(OCCCC)n1,-4.200352408,2.9493,282.335
2559,C400,RRNIZKPFKNDSRS-UHFFFAOYSA-N,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.1999998,5.8949,397.513
2560,C3858,VKQFCGNPDRICFG-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],-4.197837183,4.0538,388.414
2561,C3859,ATLJNLYIJOCWJE-CWMZOUAVSA-N,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@]132,-4.197168745,4.2583,384.508
2562,C3860,JNULUVOGRXVBJY-UHFFFAOYSA-N,CCN(CC)CCNc1nc(NCCN(CC)CC)nc(NCCN(CC)CC)n1.Cl.Cl.Cl,-4.196550341,4.7577,533.025
2563,C3861,DVASNQYQOZHAJN-UHFFFAOYSA-N,CCC(O)(c1ccccc1)c1cccc(C(F)(F)F)c1,-4.195726165,4.3513,280.285
2564,C3862,BPRGSDPGYCSOSJ-UHFFFAOYSA-L,O=S(=O)([O-])CNc1cc(/[As]=[As]/c2ccc(O)c(NCS(=O)(=O)[O-])c2)ccc1O.[Na+].[Na+],-4.195590515,0.5088,598.222
2565,C3863,FNQQBFNIYODEMB-UHFFFAOYSA-N,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,-4.19534008,3.2242,275.345
2566,C3864,WELIWWBEWVZBFS-OVAHNPOGSA-N,CNC(=O)[C@@]1(c2ccccc2)CC[C@@H]([NH+](C)C)c2ccccc21.[Cl-],-4.195249107,-0.907,344.878
2567,C3865,FEJKLNWAOXSSNR-UHFFFAOYSA-N,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,-4.194942861,2.8625,313.305
2568,C3866,GIVYEEPCHMGCEK-UHFFFAOYSA-N,Clc1ccc2c(c1)C(c1ccccc1)=NCC=N2,-4.193870327,2.7645,254.714
2569,C3867,ZDASUJMDVPTNTF-UHFFFAOYSA-N,Oc1c(Br)cc(Br)c2cccnc12,-4.193797448,3.4654,302.95
2570,C3868,CBUUEQJKUQEIID-LFIBNONCSA-N,CCCCN(CCCC)CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,-4.192992087,3.4542,324.375
2571,C3869,GAGIXICTGYVZBX-UHFFFAOYSA-N,CC(C)C(CCN1CCCCC1)(C(N)=O)c1ccccc1,-4.19287623,3.5799,288.428
2572,C3870,YIMVBDBJPQQKNE-UHFFFAOYSA-N,CC(C)(C)NCC1CCC(CNC(C)(C)C)CC1.Cl.Cl,-4.192830183,5.9548,327.376
2573,C3871,MNVLQHLXKIKIFO-UHFFFAOYSA-N,CCN(CC)CCCNc1nc(Cl)nc(NCCCN(CC)CC)n1.Cl.Cl,-4.191870982,4.5626,444.874
2574,C3872,ACUALSMYKRGSLK-UHFFFAOYSA-N,CC[NH+](CC)CCOC(=O)C1(O)c2ccccc2-c2ccccc21.[Cl-],-4.191191859,-1.6252,361.862
2575,C3873,PMZGFJILOVXDQX-UHFFFAOYSA-N,C1CCN(CCC23CC4CC(CC(C4)C2)C3)C1.Cl,-4.190584424,4.4286,269.853
2576,C3874,UBPJBMCYEHGSJS-UHFFFAOYSA-N,Cl.O=C(c1cccc(F)c1)C(CN1CCCC1)c1cccc(F)c1,-4.190297124,4.767,351.818
2577,C401,RROQIUMZODEXOR-HTQZYQBOSA-N,O=CN[C@H](N1CCN([C@@H](NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl,-4.1900001,3.418,434.962
2578,C402,HKPHPIREJKHECO-UHFFFAOYSA-N,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.1900001,4.1574,311.847
2579,C403,BCGWQEUPMDMJNV-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.1900001,3.94,280.407
2580,C404,XEOXEBNPBKUGJH-OCAPTIKFSA-N,O=CN[C@H](N1C=CN([C@H](NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.1900001,5.135,430.93
2581,C405,HOQADATXFBOEGG-OAQYLSRUSA-N,CCO[P@](=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.1900001,4.9311,345.394
2582,C3875,SDSIHESJXQVDJI-UHFFFAOYSA-N,CCOC(=O)N1c2ccccc2C=CC1SC,-4.189945177,3.4304,249.329
2583,C3876,YGCXXYLQISERCR-UHFFFAOYSA-N,Clc1ccc(-c2cc(CBr)on2)cc1,-4.189895274,3.8899,272.526
2584,C3877,GWTVMUKCRYINJA-UHFFFAOYSA-N,CC(=O)Nc1nc(-c2ccccc2)c(-c2ccccc2)o1,-4.189257867,4.04,278.305
2585,C3878,HLNLXXCWUOGYSY-BQKZNIKASA-N,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(OC(=O)c2cccnc2)cc13.O=C(O)[C@H](O)[C@@H](O)C(=O)O,-4.188605797,1.8043,512.552
2586,C3879,RWWBYAZXVYCRQA-UHFFFAOYSA-N,O=S(=O)(O)SCCNCCCCCOc1cc(C(F)(F)F)c2ccccc2n1,-4.187104939,5.4,438.485
2587,C3880,UFXKNBSRFXTFIU-UHFFFAOYSA-N,CC[NH+](CCCl)C(c1ccccc1)c1ccccc1.[Cl-],-4.186377204,-0.0764,310.261
2588,C3881,UOASDROHTULFOT-UHFFFAOYSA-N,CN1C(=O)C(CCC[NH+](C)C)(c2ccccc2)c2ccccc21.[Cl-],-4.18548927,-1.0572,344.878
2589,C3882,GTVGGHQLKNCAMB-UHFFFAOYSA-N,N#CC(C#N)=NNc1ccc(Cl)c(Cl)c1,-4.185380518,2.88146,239.061
2590,C3883,XZTUSOXSLKTKJQ-CESUGQOBSA-N,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,-4.185019722,3.6043,374.514
2591,C3884,VDNBWBPUFMZCEW-UHFFFAOYSA-N,O=Cc1ccc(Sc2ccccc2)cc1,-4.184857656,3.6503,214.283
2592,C3885,PVIYWTLLWCNTQD-UHFFFAOYSA-N,C1CCC(CNCC2CCC(CNCC3CCCCO3)CC2)OC1.Cl.Cl,-4.184566898,5.496,411.45
2593,C3886,FJNJUBSOKARRGE-UHFFFAOYSA-N,CCCCCOc1ccc(C=CC(=O)NO)cc1OCC,-4.184104124,3.5638,293.358
2594,C3887,GAWAJYQYGZLYDZ-UHFFFAOYSA-N,Cc1cc(Br)cc(C(=O)NC(C)C)c1O,-4.183400722,2.9922,272.138
2595,C3888,GGXQONWGCAQGNA-FXRZFVDSSA-N,Cc1ccsc1/C=C/C1=NCCCN1C.O=C(O)C(O)C(O)C(=O)O,-4.183088166,0.0546,370.421
2596,C3889,VDUVBBMAXXHEQP-SLINCCQESA-M,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[Na+],-4.182725556,0.8894,423.418
2597,C3890,NSSIGKVPZKVTNW-UHFFFAOYSA-N,Cl.SCCNCCCCCCOc1ccc(Br)cn1,-4.182297211,4.4956,369.749
2598,C406,SVOAUHHKPGKPQK-AWEZNQCLSA-N,O=C(O)[C@]1(O)c2ccccc2-c2ccc(Cl)cc21,-4.1799998,2.6409,260.672
2599,C407,LINPVWIEWJTEEJ-HNNXBMFYSA-N,COC(=O)[C@]1(O)c2ccccc2-c2ccc(Cl)cc21,-4.1799998,2.7293,274.699
2600,C3891,KPSRODZRAIWAKH-UHFFFAOYSA-N,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,-4.179638328,3.5898,289.154
2601,C3892,LMOMSYAUAHTACH-SEYXRHQNSA-N,CCCCNC(=O)/C(C)=C(/C)c1ccccc1,-4.179557423,3.7872,231.333
2602,C3893,PQQWTNHZXGJTDN-UHFFFAOYSA-N,CC(C)N(CCN1C(=O)CCCc2ccccc21)C(C)C,-4.179014591,3.5397,288.428
2603,C3894,VSLIUWLPFRVCDL-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,-4.178364966,3.4856,272.322
2604,C3895,ASKZGJDEXADJKD-UHFFFAOYSA-N,CC1CCCCN1CCCOC(=O)CCc1ccccc1,-4.178225825,3.3648,289.412
2605,C3896,DJEUWFADFGMDAH-UXBLZVDNSA-N,CCC(=O)N1C2CCC1CN(CC/C=C/c1ccccc1)C2,-4.178177274,3.0509,298.423
2606,C3897,VVAZXWHTJKJOJO-JXMROGBWSA-N,CCC(=O)N1C2CCCC1CN(C/C=C/c1ccccc1)C2,-4.178177274,3.0509,298.423
2607,C3898,RFRXIWQYSOIBDI-UHFFFAOYSA-N,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,-4.176655891,3.9318,266.291
2608,C3899,MDUCGIRKSXVGBH-UHFFFAOYSA-N,COc1ccccc1C1SCCCS1,-4.175807408,3.5639,226.358
2609,C3900,INEZXIFHJBJBRB-UHFFFAOYSA-N,COc1ccc(C2SCCCS2)cc1,-4.175807408,3.5639,226.358
2610,C3901,WMARGRHKDQCEBH-UHFFFAOYSA-N,CCc1ccc2c(c1)C(=O)C(C[NH+]1CCCCC1)CC2.[Cl-],-4.174488866,0.6361,307.858
2611,C3902,OKHBMCHTIXFPOE-UHFFFAOYSA-N,COc1ccc2c(=O)c(C)c(-c3ccc(F)cc3)oc2c1CN(C)C,-4.173405123,3.9777,341.376
2612,C3903,UAPITOJWKANGFK-UHFFFAOYSA-N,CCC1Oc2ccc(Cl)cc2N(CC(C)[NH+]2CCCC2)C1=O.O=C([O-])C(=O)O,-4.173330403,1.3663,412.865
2613,C3904,VGTADLXBZBVHSO-UHFFFAOYSA-N,Cc1ccccc1-c1nc2cc(C(C)C(=O)O)ccc2o1,-4.17272491,3.9913,281.306
2614,C3905,JDFQJYHRSPYWNQ-UHFFFAOYSA-N,Cc1cccc(-c2nc3cc(C(C)C(=O)O)ccc3o2)c1,-4.17272491,3.9913,281.306
2615,C3906,GZHTYRWTDHLNPC-UHFFFAOYSA-N,Cc1ccc(-c2nc3cc(C(C)C(=O)O)ccc3o2)cc1,-4.17272491,3.9913,281.306
2616,C3907,LANUMOOLGLLMHD-UHFFFAOYSA-N,Cc1ccc(N2CN(C(=O)CN3CCCCC3)c3ccccc3C2=O)cc1.Cl,-4.172219769,4.3017,399.914
2617,C3908,GLBIGEIFLNBBRY-UHFFFAOYSA-M,C1CCC(C[N+]23CCCC(CC2)CC3)CC1.[Cl-],-4.170811167,0.5501,257.843
2618,C408,CZZYITDELCSZES-UHFFFAOYSA-N,c1ccc(Cc2ccccc2)cc1,-4.1700001,3.2774,168.234
2619,C409,ZMXIYERNXPIYFR-UHFFFAOYSA-N,CCc1cccc2ccccc12,-4.1700001,3.4022,156.224
2620,C3909,QHMIESFIOZHTJY-UHFFFAOYSA-N,CC(=O)OC(c1ccccc1)(c1ccccc1)C(C)C[NH+](C)C.[Cl-],-4.168521204,-0.7221,347.879
2621,C3910,UTMZWCTVPHAOJZ-UHFFFAOYSA-N,Cc1ccc(-c2nc3ccccc3o2)cc1,-4.168372971,3.8032,209.243
2622,C3911,LLFIVQPKUFPAFJ-UHFFFAOYSA-N,CCN1CCCC(OC(=O)Nc2c(C)cccc2Cl)C1,-4.167105225,3.6921,296.792
2623,C3912,XZNWXEXXXURADS-UHFFFAOYSA-N,CCCN1CCC(OC(=O)Nc2c(C)cccc2Cl)C1,-4.167105225,3.6921,296.792
2624,C3913,UNVDLZFIUJGXJR-UHFFFAOYSA-N,CCN1CCC(OC(=O)Nc2c(C)cccc2Cl)CC1,-4.167105225,3.6921,296.792
2625,C3914,YLUWIWDPTZHXQS-UHFFFAOYSA-N,CC(C(=O)O)c1ccc2oc(-c3ccc([N+](=O)[O-])cc3)nc2c1,-4.166165972,4.1143,312.277
2626,C3915,BITVSRNAFFZUFW-UHFFFAOYSA-N,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Cl-],-4.165498874,2.2982,349.857
2627,C3916,ZIROSOHFLOYBBU-UHFFFAOYSA-N,Cl.Cl.Oc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1CN1CCCC1,-4.164806951,6.5481,426.767
2628,C3917,CEKKEXXOXOUODW-UHFFFAOYSA-N,C[NH+](C)CCCC1(c2ccccc2)C[NH+](C)c2ccccc21.[Cl-].[Cl-],-4.163688961,-3.3656,367.356
2629,C3918,ABVVEAHYODGCLZ-UHFFFAOYSA-N,CCCCCCCCCCCCCN,-4.161699215,4.9564,199.376
2630,C3919,VTOJJDGNQGCRLP-UHFFFAOYSA-N,O=c1nc(-c2ccccc2)c(-c2ccccc2)n[nH]1,-4.161146776,2.4989,249.267
2631,C3920,KLOXEYMSPNBMHD-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(-c2nc3ccccc3o2)cc1,-4.160497459,3.9262,240.214
2632,C410,RGCVKNLCSQQDEP-UHFFFAOYSA-N,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.1599998,3.8835,403.969
2633,C411,AMVYOVYGIJXTQB-UHFFFAOYSA-N,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,-4.1599998,3.654,286.326
2634,C412,CMWTZPSULFXXJA-VIFPVBQESA-N,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.1599998,3.0365,230.259
2635,C413,QGXBDMJGAMFCBF-LUJOEAJASA-N,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,-4.1599998,3.9591,290.44
2636,C414,QYSPLQLAKJAUJT-UHFFFAOYSA-N,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.1599998,2.6727,331.346
2637,C415,DSKJPMWIHSOYEA-UHFFFAOYSA-N,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,-4.1599998,2.8984,316.42
